"Area";"Information";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"WHOLE COUNTRY";"Population 31 Dec";5375276;5401267;5426674;5451270;5471753;5487308;5503297;5513130;5517919;5525292;5533793;5548241;5563970;5603851
"Akaa";"Population 31 Dec";17012;17091;17134;17108;17052;17043;16923;16769;16611;16475;16391;16467;16473;16405
"Alajärvi";"Population 31 Dec";10487;10327;10268;10227;10171;10006;9899;9831;9700;9562;9419;9311;9183;9113
"Alavieska";"Population 31 Dec";2770;2750;2761;2740;2687;2687;2639;2610;2573;2519;2517;2491;2447;2437
"Alavus";"Population 31 Dec";12439;12385;12341;12228;12103;12044;11907;11713;11544;11468;11332;11197;11102;10933
"Asikkala";"Population 31 Dec";8552;8498;8461;8405;8374;8287;8323;8248;8149;8083;8059;8033;8014;7968
"Askola";"Population 31 Dec";4864;4911;4988;4991;5064;5104;5046;4990;4958;4943;4878;4847;4763;4700
"Aura";"Population 31 Dec";3911;3975;3971;3962;3982;3986;3984;3991;3984;3941;3959;3955;3965;3961
"Brändö";"Population 31 Dec";488;480;476;475;474;470;471;452;449;445;449;449;450;436
"Eckerö";"Population 31 Dec";943;978;960;947;932;935;928;948;961;952;958;933;939;942
"Enonkoski";"Population 31 Dec";1615;1566;1532;1522;1503;1473;1453;1416;1405;1361;1369;1362;1341;1320
"Enontekiö";"Population 31 Dec";1876;1893;1880;1891;1890;1861;1872;1893;1852;1838;1808;1789;1811;1771
"Espoo";"Population 31 Dec";247970;252439;256824;260753;265543;269802;274583;279044;283632;289731;292796;297132;305274;314024
"Eura";"Population 31 Dec";12507;12424;12406;12368;12314;12128;12004;11910;11748;11632;11483;11417;11276;11184
"Eurajoki";"Population 31 Dec";9245;9197;9282;9286;9294;9287;9418;9521;9454;9402;9452;9334;9211;9143
"Evijärvi";"Population 31 Dec";2755;2747;2686;2685;2651;2576;2535;2499;2473;2425;2408;2404;2346;2292
"Finström";"Population 31 Dec";2502;2527;2531;2520;2535;2522;2594;2580;2588;2593;2603;2638;2588;2610
"Forssa";"Population 31 Dec";17904;17833;17727;17667;17521;17422;17332;17185;17028;16901;16800;16573;16459;16469
"Föglö";"Population 31 Dec";580;577;578;572;568;554;561;532;534;531;526;501;504;509
"Geta";"Population 31 Dec";475;492;495;500;494;500;499;495;514;496;511;505;507;509
"Haapajärvi";"Population 31 Dec";7639;7609;7641;7616;7479;7438;7332;7251;7147;7010;6896;6802;6687;6558
"Haapavesi";"Population 31 Dec";7418;7384;7283;7241;7175;7167;7098;6970;6854;6758;6667;6613;6591;6473
"Hailuoto";"Population 31 Dec";1004;1004;986;999;997;993;994;967;974;959;949;950;960;948
"Halsua";"Population 31 Dec";1289;1275;1248;1229;1222;1225;1219;1171;1165;1127;1103;1083;1052;1013
"Hamina";"Population 31 Dec";21400;21403;21256;21203;21061;20851;20636;20493;20286;20111;19877;19702;19549;19534
"Hammarland";"Population 31 Dec";1508;1526;1522;1540;1531;1537;1508;1547;1577;1583;1599;1619;1628;1646
"Hankasalmi";"Population 31 Dec";5542;5491;5453;5404;5307;5240;5159;5019;4939;4875;4782;4683;4601;4549
"Hanko";"Population 31 Dec";9462;9417;9267;9109;9021;8864;8663;8517;8379;8199;8042;7979;7832;7721
"Harjavalta";"Population 31 Dec";7540;7504;7486;7407;7366;7296;7240;7151;7018;6931;6869;6785;6753;6703
"Hartola";"Population 31 Dec";3355;3292;3205;3098;3071;2982;2924;2882;2780;2697;2655;2621;2574;2531
"Hattula";"Population 31 Dec";9657;9682;9720;9684;9738;9747;9682;9610;9475;9422;9389;9405;9359;9371
"Hausjärvi";"Population 31 Dec";8815;8807;8866;8808;8815;8729;8641;8504;8417;8260;8175;8143;8031;7998
"Heinola";"Population 31 Dec";20258;20164;20051;19979;19695;19575;19350;19128;18889;18667;18497;18344;18131;17953
"Heinävesi";"Population 31 Dec";3912;3827;3742;3667;3638;3574;3514;3455;3329;3254;3196;3136;3061;3001
"Helsinki";"Population 31 Dec";588549;595384;603968;612664;620715;628208;635181;643272;648042;653835;656920;658457;664028;674500
