"Month";"Price component";"Type of consumer";"Price (c/kWh)"
"2008M01";"Total price";"Household customer, annual consumption < 1 000 kW";..
"2008M01";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";..
"2008M01";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";..
"2008M01";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";..
"2008M01";"Total price";"Household customer, annual consumption > 15 000 kWh";..
"2008M02";"Total price";"Household customer, annual consumption < 1 000 kW";..
"2008M02";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";..
"2008M02";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";..
"2008M02";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";..
"2008M02";"Total price";"Household customer, annual consumption > 15 000 kWh";..
"2008M03";"Total price";"Household customer, annual consumption < 1 000 kW";..
"2008M03";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";..
"2008M03";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";..
"2008M03";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";..
"2008M03";"Total price";"Household customer, annual consumption > 15 000 kWh";..
"2008M04";"Total price";"Household customer, annual consumption < 1 000 kW";..
"2008M04";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";..
"2008M04";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";..
"2008M04";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";..
"2008M04";"Total price";"Household customer, annual consumption > 15 000 kWh";..
"2008M05";"Total price";"Household customer, annual consumption < 1 000 kW";..
"2008M05";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";..
"2008M05";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";..
"2008M05";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";..
"2008M05";"Total price";"Household customer, annual consumption > 15 000 kWh";..
"2008M06";"Total price";"Household customer, annual consumption < 1 000 kW";..
"2008M06";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";..
"2008M06";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";..
"2008M06";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";..
"2008M06";"Total price";"Household customer, annual consumption > 15 000 kWh";..
"2008M07";"Total price";"Household customer, annual consumption < 1 000 kW";..
"2008M07";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";..
"2008M07";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";..
"2008M07";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";..
"2008M07";"Total price";"Household customer, annual consumption > 15 000 kWh";..
"2008M08";"Total price";"Household customer, annual consumption < 1 000 kW";..
"2008M08";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";..
"2008M08";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";..
"2008M08";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";..
"2008M08";"Total price";"Household customer, annual consumption > 15 000 kWh";..
"2008M09";"Total price";"Household customer, annual consumption < 1 000 kW";..
"2008M09";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";..
"2008M09";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";..
"2008M09";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";..
"2008M09";"Total price";"Household customer, annual consumption > 15 000 kWh";..
"2008M10";"Total price";"Household customer, annual consumption < 1 000 kW";..
"2008M10";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";..
"2008M10";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";..
"2008M10";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";..
"2008M10";"Total price";"Household customer, annual consumption > 15 000 kWh";..
"2008M11";"Total price";"Household customer, annual consumption < 1 000 kW";..
"2008M11";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";..
"2008M11";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";..
"2008M11";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";..
"2008M11";"Total price";"Household customer, annual consumption > 15 000 kWh";..
"2008M12";"Total price";"Household customer, annual consumption < 1 000 kW";..
"2008M12";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";..
"2008M12";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";..
"2008M12";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";..
"2008M12";"Total price";"Household customer, annual consumption > 15 000 kWh";..
"2009M01";"Total price";"Household customer, annual consumption < 1 000 kW";16.817
"2009M01";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";13.937
"2009M01";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";13.019
"2009M01";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";11.273
"2009M01";"Total price";"Household customer, annual consumption > 15 000 kWh";10.032
"2009M02";"Total price";"Household customer, annual consumption < 1 000 kW";16.626
"2009M02";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";14.064
"2009M02";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";13.153
"2009M02";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";11.341
"2009M02";"Total price";"Household customer, annual consumption > 15 000 kWh";10.073
"2009M03";"Total price";"Household customer, annual consumption < 1 000 kW";17.538
"2009M03";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";14.598
"2009M03";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";13.466
"2009M03";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";11.427
"2009M03";"Total price";"Household customer, annual consumption > 15 000 kWh";10.118
"2009M04";"Total price";"Household customer, annual consumption < 1 000 kW";17.080
"2009M04";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";14.494
"2009M04";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";13.286
"2009M04";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";11.233
"2009M04";"Total price";"Household customer, annual consumption > 15 000 kWh";9.961
"2009M05";"Total price";"Household customer, annual consumption < 1 000 kW";17.349
"2009M05";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";14.433
"2009M05";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";13.214
"2009M05";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";11.222
"2009M05";"Total price";"Household customer, annual consumption > 15 000 kWh";9.950
"2009M06";"Total price";"Household customer, annual consumption < 1 000 kW";17.398
"2009M06";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";14.482
"2009M06";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";13.165
"2009M06";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";11.222
"2009M06";"Total price";"Household customer, annual consumption > 15 000 kWh";9.950
"2009M07";"Total price";"Household customer, annual consumption < 1 000 kW";17.616
"2009M07";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";14.749
"2009M07";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";13.437
"2009M07";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";11.392
"2009M07";"Total price";"Household customer, annual consumption > 15 000 kWh";10.049
"2009M08";"Total price";"Household customer, annual consumption < 1 000 kW";17.617
"2009M08";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";14.714
"2009M08";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";13.377
"2009M08";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";11.331
"2009M08";"Total price";"Household customer, annual consumption > 15 000 kWh";10.000
"2009M09";"Total price";"Household customer, annual consumption < 1 000 kW";17.430
"2009M09";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";14.526
