; Adj. Diesel ; Adj. Bensiini 95 E10 / Gasoline 95 E10 ; Adj. Bensiini 98 E5 / Gasoline 98 E5 ; CPI/Base 2015 ; CPI/100 ; CPI/Base 2024 ; Adj. Diesel ; Adj. Bensiini 95 E10 / Gasoline 95 E10 ; Adj. Bensiini 98 E5 / Gasoline 98 E5 
 2015M01 ; 1.28 ; 1.37 ; 1.43 ; 94.30 ; 0.94 ; 0.76 ; 0.97 ; 1.04 ; 1.09 
 2015M02 ; 1.30 ; 1.39 ; 1.46 ; 95.75 ; 0.96 ; 0.77 ; 1.00 ; 1.07 ; 1.13 
 2015M03 ; 1.36 ; 1.46 ; 1.53 ; 100.12 ; 1.00 ; 0.81 ; 1.10 ; 1.18 ; 1.23 
 2015M04 ; 1.36 ; 1.50 ; 1.57 ; 102.37 ; 1.02 ; 0.82 ; 1.12 ; 1.24 ; 1.29 
 2015M05 ; 1.36 ; 1.55 ; 1.62 ; 105.03 ; 1.05 ; 0.85 ; 1.15 ; 1.31 ; 1.37 
 2015M06 ; 1.37 ; 1.57 ; 1.64 ; 106.52 ; 1.07 ; 0.86 ; 1.18 ; 1.35 ; 1.41 
 2015M07 ; 1.35 ; 1.56 ; 1.64 ; 105.97 ; 1.06 ; 0.85 ; 1.15 ; 1.33 ; 1.40 
 2015M08 ; 1.31 ; 1.53 ; 1.61 ; 103.73 ; 1.04 ; 0.84 ; 1.09 ; 1.28 ; 1.35 
 2015M09 ; 1.25 ; 1.45 ; 1.52 ; 98.39 ; 0.98 ; 0.79 ; 0.99 ; 1.15 ; 1.20 
 2015M10 ; 1.24 ; 1.41 ; 1.49 ; 96.21 ; 0.96 ; 0.77 ; 0.96 ; 1.09 ; 1.15 
 2015M11 ; 1.26 ; 1.42 ; 1.49 ; 97.01 ; 0.97 ; 0.78 ; 0.98 ; 1.11 ; 1.16 
 2015M12 ; 1.22 ; 1.39 ; 1.46 ; 94.54 ; 0.95 ; 0.76 ; 0.93 ; 1.06 ; 1.11 
 2016M01 ; 1.17 ; 1.36 ; 1.44 ; 92.73 ; 0.93 ; 0.75 ; 0.87 ; 1.02 ; 1.08 
 2016M02 ; 1.13 ; 1.32 ; 1.40 ; 89.91 ; 0.90 ; 0.72 ; 0.82 ; 0.96 ; 1.01 
 2016M03 ; 1.14 ; 1.32 ; 1.40 ; 89.84 ; 0.90 ; 0.72 ; 0.82 ; 0.96 ; 1.01 
 2016M04 ; 1.15 ; 1.35 ; 1.43 ; 91.77 ; 0.92 ; 0.74 ; 0.85 ; 1.00 ; 1.06 
 2016M05 ; 1.18 ; 1.40 ; 1.48 ; 94.83 ; 0.95 ; 0.76 ; 0.90 ; 1.07 ; 1.13 
 2016M06 ; 1.23 ; 1.44 ; 1.51 ; 97.28 ; 0.97 ; 0.78 ; 0.96 ; 1.13 ; 1.18 
 2016M07 ; 1.20 ; 1.40 ; 1.49 ; 95.31 ; 0.95 ; 0.77 ; 0.92 ; 1.07 ; 1.14 
 2016M08 ; 1.16 ; 1.36 ; 1.44 ; 92.00 ; 0.92 ; 0.74 ; 0.86 ; 1.01 ; 1.07 
 2016M09 ; 1.19 ; 1.38 ; 1.46 ; 93.87 ; 0.94 ; 0.76 ; 0.90 ; 1.04 ; 1.10 
 2016M10 ; 1.24 ; 1.42 ; 1.49 ; 96.27 ; 0.96 ; 0.78 ; 0.96 ; 1.10 ; 1.16 
 2016M11 ; 1.27 ; 1.40 ; 1.48 ; 95.45 ; 0.95 ; 0.77 ; 0.98 ; 1.08 ; 1.14 
 2016M12 ; 1.32 ; 1.43 ; 1.51 ; 98.02 ; 0.98 ; 0.79 ; 1.04 ; 1.13 ; 1.19 
 2017M01 ; 1.38 ; 1.49 ; 1.57 ; 101.82 ; 1.02 ; 0.82 ; 1.13 ; 1.22 ; 1.29 
