g/km;e/day;e/365day
0;0.146;53.29
1;0.147;53.65
2;0.148;54.02
3;0.149;54.38
4;0.15;54.75
5;0.151;55.11
6;0.152;55.48
7;0.153;55.84
8;0.154;56.21
9;0.155;56.57
10;0.157;57.3
11;0.158;57.67
12;0.159;58.03
13;0.16;58.4
14;0.161;58.76
15;0.163;59.49
16;0.164;59.86
17;0.165;60.22
18;0.166;60.59
19;0.168;61.32
20;0.169;61.68
21;0.17;62.05
22;0.172;62.78
23;0.173;63.14
24;0.174;63.51
25;0.176;64.24
26;0.177;64.6
27;0.179;65.33
28;0.18;65.7
29;0.182;66.43
30;0.183;66.79
31;0.185;67.52
32;0.186;67.89
33;0.188;68.62
34;0.189;68.98
35;0.191;69.71
36;0.192;70.08
37;0.194;70.81
38;0.196;71.54
39;0.197;71.9
40;0.199;72.63
41;0.201;73.36
42;0.202;73.73
43;0.204;74.46
44;0.206;75.19
45;0.208;75.92
46;0.209;76.28
47;0.211;77.01
48;0.213;77.74
49;0.215;78.47
50;0.217;79.2
51;0.219;79.93
52;0.221;80.66
53;0.223;81.39
54;0.224;81.76
55;0.226;82.49
56;0.229;83.58
57;0.231;84.31
58;0.233;85.04
59;0.235;85.77
60;0.237;86.5
61;0.239;87.23
62;0.241;87.96
63;0.243;88.69
64;0.245;89.42
65;0.248;90.52
66;0.25;91.25
67;0.252;91.98
68;0.255;93.07
69;0.257;93.8
70;0.259;94.53
71;0.262;95.63
72;0.264;96.36
73;0.266;97.09
74;0.269;98.18
75;0.271;98.91
76;0.274;100.01
77;0.277;101.1
78;0.279;101.83
79;0.282;102.93
80;0.284;103.66
81;0.287;104.75
82;0.29;105.85
83;0.292;106.58
84;0.295;107.67
85;0.298;108.77
86;0.301;109.86
87;0.304;110.96
88;0.307;112.05
89;0.309;112.78
90;0.312;113.88
91;0.315;114.97
92;0.318;116.07
93;0.321;117.16
94;0.324;118.26
95;0.328;119.72
96;0.331;120.81
97;0.334;121.91
